id,season,lg,team,abbreviation,playoffs,g,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss
280,2015,NBA,Houston Rockets,HOU,TRUE,82,19805,38.1,85.8,0.444,11.7,33.6,0.348,26.3,52.1,0.506,19.1,26.8,0.715,12,32.9,45,22.8,9.8,5.1,17.1,22.6,107
281,2015,NBA,Indiana Pacers,IND,FALSE,82,19855,38.9,88.5,0.439,7.9,22.6,0.352,31,66,0.469,17.8,23.6,0.756,11.1,36.6,47.7,22.8,6.6,4.9,14.9,22.6,103.5
282,2015,NBA,Los Angeles Clippers,LAC,TRUE,82,19730,41.5,87.7,0.473,10.6,28.3,0.376,30.8,59.4,0.519,18.9,26.5,0.71,10.1,34.8,44.9,26.1,8.2,5.3,13,22.5,112.4
283,2015,NBA,Los Angeles Lakers,LAL,FALSE,82,19930,39.1,89.9,0.435,6.8,19.8,0.344,32.3,70.1,0.461,18.4,24.8,0.741,12.2,33.9,46.1,22,7.4,4.7,13.9,22.3,103.4
284,2015,NBA,Memphis Grizzlies,MEM,TRUE,82,19905,40.6,88.7,0.458,5.5,16.3,0.339,35.1,72.3,0.485,18.9,24.5,0.773,11.2,34.5,45.8,23.3,9.2,4.5,14.3,20.5,105.7
285,2015,NBA,Miami Heat,MIA,FALSE,82,19730,38.6,84.7,0.456,7.4,22.2,0.335,31.2,62.5,0.499,19.2,26,0.741,10,32.9,42.9,21.8,8.6,5,16.2,21.9,103.9
286,2015,NBA,Milwaukee Bucks,MIL,TRUE,82,19930,39.5,86,0.459,7,19.2,0.363,32.5,66.8,0.486,16.8,22.2,0.757,11.2,32.9,44.2,24.7,10.1,5.2,17.6,23.2,102.7
287,2015,NBA,Minnesota Timberwolves,MIN,FALSE,82,19805,38.3,87.5,0.438,5.2,15.7,0.332,33.1,71.8,0.461,21,27.1,0.776,12.2,30.9,43.1,22.7,8.6,4.2,15.8,20.2,102.9
288,2015,NBA,New Orleans Pelicans,NOP,TRUE,82,19780,41.3,90.2,0.457,7.8,21,0.37,33.5,69.2,0.484,17.9,23.8,0.751,12.5,34.8,47.3,24,7.3,6.8,14.4,20.3,108.2
289,2015,NBA,New York Knicks,NYK,FALSE,82,19855,38.2,89.2,0.428,7.4,21.4,0.347,30.8,67.8,0.454,16.1,20.9,0.769,11.5,32.4,43.9,23.1,7.6,5.1,16,23.4,99.9
290,2015,NBA,Oklahoma City Thunder,OKC,FALSE,82,19830,40.3,90,0.447,8,23.6,0.339,32.3,66.4,0.486,19.3,25.5,0.754,13.3,36,49.3,21.3,7.6,5.7,15.2,23.1,107.8
291,2015,NBA,Orlando Magic,ORL,FALSE,82,19755,39.8,87.9,0.453,7.2,20.7,0.347,32.6,67.2,0.486,14.8,20.3,0.729,10.6,33.7,44.4,21.9,8.4,4.1,15.8,22.2,101.6
292,2015,NBA,Philadelphia 76ers,PHI,FALSE,82,19805,35,85.8,0.408,8.8,27.3,0.32,26.2,58.4,0.449,16.7,24.7,0.676,12.4,32.1,44.5,21.3,10,6.2,18.4,22.5,95.5
293,2015,NBA,Phoenix Suns,PHO,FALSE,82,19880,39.8,88.3,0.452,8.8,25.7,0.341,31.1,62.6,0.497,16.8,22.2,0.76,11.2,33.1,44.4,20.8,8.8,4.8,15.5,21.9,105.3
294,2015,NBA,Portland Trail Blazers,POR,TRUE,82,19855,40.7,90.4,0.45,10.4,28.6,0.362,30.4,61.8,0.491,16.3,20.4,0.801,11.3,37,48.2,23.1,6.7,4.8,14.3,19.2,108.2
