id,seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
1648,31382,2024,4622,Harry Giles,NA,C,25,4,NBA,LAL,7,0,19,2.5,15,0.167,0,7.5,0,2.5,7.5,0.333,0,0,NA,0,10,10,0,2.5,0,0,0,5,37,113
1649,31383,2024,4623,Haywood Highsmith,NA,PF,27,4,NBA,MIA,66,26,1366,5.6,12,0.465,2.8,7,0.396,2.8,5,0.562,0.8,1.3,0.639,2.4,5.3,7.7,2.6,1.9,1.1,1.2,4.3,14.8,118,112
1650,31384,2024,5145,Henri Drell,NA,SF,23,1,NBA,CHI,4,0,30,6.6,16.6,0.4,3.3,10,0.333,3.3,6.6,0.5,1.7,3.3,0.5,1.7,5,6.6,6.6,3.3,1.7,3.3,10,18.3,102,112
1651,31385,2024,4939,Herbert Jones,NA,SF,25,3,NBA,NOP,76,76,2321,6.2,12.4,0.498,2.4,5.8,0.418,3.8,6.7,0.568,2.9,3.3,0.867,1.6,4.2,5.7,4.2,2.2,1.3,2,4.7,17.7,124,113
1652,31386,2024,5146,Hunter Tyson,NA,PF,23,1,NBA,DEN,18,0,48,8.3,20.7,0.4,4.1,14.5,0.286,4.1,6.2,0.667,0,0,NA,1,8.3,9.3,2.1,1,0,2.1,10.3,20.7,96,114
1653,31387,2024,5147,Ibou Badji,NA,C,21,1,NBA,POR,22,1,226,3.1,4.8,0.636,0,0,NA,3.1,4.8,0.636,1.3,2.6,0.5,4.4,6.8,11.1,2.8,0.7,4.4,3.3,10,7.4,104,115
1654,31388,2024,4837,Immanuel Quickley,NA,PG-SG,24,4,NBA,TOT,68,38,1985,9.6,22.1,0.434,4.2,10.7,0.395,5.4,11.4,0.471,5.2,6.1,0.853,0.4,6,6.4,8.2,1.2,0.2,2.5,2.9,28.6,119,119
1655,31389,2024,4837,Immanuel Quickley,NA,SG,24,4,NBA,NYK,30,0,720,10.6,23.5,0.454,4.5,11.3,0.395,6.2,12.1,0.509,5.7,6.6,0.872,0.4,5,5.4,5.2,1.1,0.2,2.2,3.1,31.5,123,117
1656,31390,2024,4837,Immanuel Quickley,NA,PG,24,4,NBA,TOR,38,38,1265,9,21.3,0.422,4.1,10.3,0.395,4.9,11,0.448,4.8,5.8,0.841,0.5,6.5,6.9,9.8,1.3,0.3,2.7,2.9,27,117,120
1657,31391,2024,4838,Isaac Okoro,NA,SF,23,4,NBA,CLE,69,42,1887,6.2,12.6,0.49,2.2,5.6,0.391,4,6.9,0.57,2.4,3.6,0.679,1.8,3.6,5.4,3.5,1.5,0.9,1.4,3.7,16.9,121,115
