id,season,lg,team,abbreviation,playoffs,g,mp_per_game,opp_fg_per_game,opp_fga_per_game,opp_fg_percent,opp_x3p_per_game,opp_x3pa_per_game,opp_x3p_percent,opp_x2p_per_game,opp_x2pa_per_game,opp_x2p_percent,opp_ft_per_game,opp_fta_per_game,opp_ft_percent,opp_orb_per_game,opp_drb_per_game,opp_trb_per_game,opp_ast_per_game,opp_stl_per_game,opp_blk_per_game,opp_tov_per_game,opp_pf_per_game,opp_pts_per_game
33922,2018,NBA,Orlando Magic,ORL,FALSE,82,240.6,40.9,87.5,0.468,10,27.6,0.362,30.9,60,0.516,16.4,21.2,0.773,10.6,35.3,45.9,24.4,7.8,4.9,14.2,19,108.2
33923,2018,NBA,Philadelphia 76ers,PHI,TRUE,82,241.2,38,87.6,0.434,10.1,29.6,0.342,27.9,58,0.482,19.1,25.6,0.745,10,32.2,42.2,21.7,8.5,5.1,14.3,20.4,105.3
33924,2018,NBA,Phoenix Suns,PHO,FALSE,82,240.3,41.8,88.7,0.471,10.9,29.2,0.373,30.9,59.5,0.519,18.8,24.6,0.766,10.4,35.4,45.9,23.3,8.7,6,13.4,20.9,113.3
33925,2018,NBA,Portland Trail Blazers,POR,TRUE,82,240.9,38.4,85.9,0.447,9.7,26.6,0.364,28.7,59.3,0.484,16.6,22,0.755,9.3,33.6,42.9,20.2,7.3,5.1,12.6,19.1,103
33926,2018,NBA,Sacramento Kings,SAC,FALSE,82,240.9,38.7,82.4,0.47,11.9,31.5,0.377,26.8,50.9,0.527,16.4,21.5,0.765,9.1,34.7,43.8,23.6,7.8,4.7,14.3,17.3,105.8
33927,2018,NBA,San Antonio Spurs,SAS,TRUE,82,240.6,38.2,84.3,0.453,9.1,26.3,0.348,29,58,0.501,14.3,18.9,0.759,9.2,33.3,42.5,21.8,7.6,3.9,14.1,19.7,99.8
33928,2018,NBA,Toronto Raptors,TOR,TRUE,82,241.8,38.4,85.6,0.449,8.9,25,0.357,29.5,60.6,0.486,18.2,23.7,0.767,9.8,32.6,42.4,21.8,7.2,4.9,14.3,19.9,103.9
33929,2018,NBA,Utah Jazz,UTA,TRUE,82,240.9,37.3,83,0.449,9.5,26,0.365,27.8,57,0.488,15.8,20.5,0.771,8.7,33,41.6,20,8.3,4.6,14.9,20.5,99.8
33930,2018,NBA,Washington Wizards,WAS,TRUE,82,242.1,39,84.4,0.462,10.2,29.2,0.349,28.8,55.2,0.522,17.9,23.5,0.761,9.8,32.7,42.5,22.3,7.8,4.7,14.9,20,106
33931,2018,NBA,League Average,NA,FALSE,82,241.4,39.6,86.1,0.46,10.5,29,0.362,29.1,57.1,0.51,16.6,21.7,0.767,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3
33932,2017,NBA,Atlanta Hawks,ATL,TRUE,82,242.4,38.8,87.3,0.444,10.9,30.5,0.357,27.9,56.7,0.491,15.6,20.2,0.772,10.7,33.2,43.9,23.4,9,5.2,15.4,21.6,104
33933,2017,NBA,Boston Celtics,BOS,TRUE,82,240.9,38.6,85.8,0.45,9,27,0.332,29.7,58.8,0.505,19.1,24.9,0.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4
33934,2017,NBA,Brooklyn Nets,BRK,FALSE,82,240.9,41.6,90.8,0.458,10,27.2,0.366,31.7,63.6,0.498,19.3,25,0.772,11,36.2,47.2,23,9.5,5.6,13.3,20.4,112.5
33935,2017,NBA,Chicago Bulls,CHI,TRUE,82,241.2,39.5,86.6,0.456,8.9,25.9,0.345,30.5,60.7,0.503,14.6,19,0.77,10.3,32.9,43.2,23.6,7.3,4.6,13.4,18.8,102.4
33936,2017,NBA,Charlotte Hornets,CHO,FALSE,82,241.8,39.5,86.5,0.456,11.6,31.4,0.369,27.9,55.1,0.506,14.2,18.2,0.776,8.9,35.5,44.4,24.5,6.6,5.5,13.1,19.9,104.7
33937,2017,NBA,Cleveland Cavaliers,CLE,TRUE,82,242.4,40.6,88.8,0.458,10.4,28.7,0.361,30.3,60.1,0.504,15.5,20,0.773,11,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2
33938,2017,NBA,Dallas Mavericks,DAL,FALSE,82,241.2,37,79,0.469,9.6,25.3,0.38,27.4,53.7,0.51,17.2,22.3,0.772,8.9,35.6,44.5,21.3,6.5,3.4,14.9,19.4,100.8
33939,2017,NBA,Denver Nuggets,DEN,FALSE,82,240.9,42.1,88.4,0.477,9.9,26.3,0.375,32.3,62.1,0.519,17.1,21.9,0.782,9.4,31.4,40.8,24,8.3,4.9,12,20.2,111.2
33940,2017,NBA,Detroit Pistons,DET,FALSE,82,241.5,38.3,83.3,0.46,9.4,25.6,0.366,29,57.7,0.502,16.4,21,0.78,8,34.9,42.9,23.5,6.7,4.1,12.8,17.5,102.5
33941,2017,NBA,Golden State Warriors,GSW,TRUE,82,241.2,38.8,89.2,0.435,9,27.8,0.324,29.8,61.4,0.485,17.7,23.2,0.761,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
33942,2017,NBA,Houston Rockets,HOU,TRUE,82,241.2,41.2,88.9,0.463,10,29.1,0.343,31.2,59.7,0.522,17.3,22.2,0.778,10.7,33.4,44.1,24.1,8.5,5,15.1,20.4,109.6
33943,2017,NBA,Indiana Pacers,IND,TRUE,82,242.1,38,84.3,0.451,10.4,29.1,0.355,27.6,55.1,0.501,19,24.1,0.789,10.7,33.5,44.3,22.3,8.1,5,14.9,19.5,105.3
33944,2017,NBA,Los Angeles Clippers,LAC,TRUE,82,240.9,38.6,85.4,0.452,9.2,26.3,0.35,29.4,59.1,0.497,18,23.4,0.772,10.2,32.9,43.1,23.1,7,3.1,13.2,22.4,104.4
33945,2017,NBA,Los Angeles Lakers,LAL,FALSE,82,240.3,41.5,86,0.483,10.1,27.4,0.37,31.4,58.6,0.536,18.3,24,0.762,10.3,34.2,44.4,25.7,8.5,5.4,14.5,18.5,111.5
33946,2017,NBA,Memphis Grizzlies,MEM,TRUE,82,242.7,34.9,78.8,0.443,9.9,28,0.354,25,50.8,0.492,20.2,26.9,0.753,9.3,32.8,42.1,20.1,7,5,14.3,20.8,100
33947,2017,NBA,Miami Heat,MIA,FALSE,82,241.2,37.9,84.2,0.45,7.8,22.7,0.343,30.1,61.5,0.49,18.5,23.7,0.782,10.2,33.4,43.6,19.6,6.8,4.9,13.7,18.7,102.1
33948,2017,NBA,Milwaukee Bucks,MIL,TRUE,82,241.2,38,83,0.458,10,28.2,0.353,28,54.8,0.512,17.9,23.2,0.771,10.3,32.1,42.5,24.1,7.4,4.6,14.7,19.3,103.8
33949,2017,NBA,Minnesota Timberwolves,MIN,FALSE,82,241.5,39.6,83.3,0.475,9.9,27,0.366,29.7,56.3,0.528,17.6,22.9,0.768,9.8,30.6,40.4,23.1,7.7,5,14.3,20.5,106.7
33950,2017,NBA,New Orleans Pelicans,NOP,FALSE,82,242.7,40.1,89,0.45,10.5,29.8,0.353,29.5,59.2,0.499,15.8,20.7,0.762,10.6,37.7,48.3,23.4,7.4,4.2,14,19.3,106.4
33951,2017,NBA,New York Knicks,NYK,FALSE,82,242.1,39.7,87.4,0.455,9.8,28.2,0.348,29.9,59.1,0.506,18.7,24.2,0.771,11.6,33.1,44.7,21.8,7.5,4.6,12.9,18.5,108
33952,2017,NBA,Oklahoma City Thunder,OKC,TRUE,82,241.5,39.2,85.3,0.459,8.8,24.8,0.356,30.4,60.5,0.502,18.6,24.3,0.764,9.1,31.5,40.6,21.4,8.5,5.5,13.8,20.7,105.8
33953,2017,NBA,Orlando Magic,ORL,FALSE,82,241.5,40.3,86.4,0.467,9.7,26.4,0.367,30.6,60,0.51,17.4,22.7,0.766,9.7,35.8,45.5,23.6,7.6,5.1,13,18.7,107.6
33954,2017,NBA,Philadelphia 76ers,PHI,FALSE,82,241.8,39.6,85.9,0.461,8.9,24.9,0.357,30.7,61,0.503,20.1,26,0.773,10.8,34.2,45,22.7,8.6,5.4,15.1,19.6,108.1
33955,2017,NBA,Phoenix Suns,PHO,FALSE,82,241.8,40.2,86.2,0.467,10.1,26.3,0.382,30.2,59.9,0.504,22.8,29.1,0.783,10.2,33.8,44,22.2,8.1,5.3,14.9,22.2,113.3
33956,2017,NBA,Portland Trail Blazers,POR,TRUE,82,243,39.2,86.2,0.455,9.3,25.1,0.37,29.9,61.1,0.489,20.8,26.5,0.785,10.1,33.9,44,20.6,7.7,5.3,12.8,19.8,108.5
33957,2017,NBA,Sacramento Kings,SAC,FALSE,82,242.4,38.5,83.2,0.462,10.9,30,0.364,27.5,53.2,0.517,18.9,24.2,0.778,10.1,32.8,42.9,23.7,8.5,5.1,14,20.1,106.7
33958,2017,NBA,San Antonio Spurs,SAS,TRUE,82,241.5,37,83.4,0.443,8.1,23.7,0.344,28.8,59.7,0.483,16,20.8,0.771,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1
33959,2017,NBA,Toronto Raptors,TOR,TRUE,82,241.2,37.2,82.9,0.449,9.7,27.3,0.354,27.5,55.6,0.495,18.5,23.8,0.78,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6
33960,2017,NBA,Utah Jazz,UTA,TRUE,82,240.9,36.3,82,0.443,8.2,22.9,0.358,28.1,59.1,0.476,16,20.7,0.769,9,31.1,40.2,17.8,7.3,3.8,12.1,20.2,96.8
33961,2017,NBA,Washington Wizards,WAS,TRUE,82,242.1,39.7,85.1,0.466,9.9,27.1,0.364,29.8,58,0.514,18.2,24.2,0.751,10.6,32.5,43,22.8,7.4,4.6,15.3,19.8,107.4
33962,2017,NBA,League Average,NA,FALSE,82,241.6,39,85.4,0.457,9.7,27,0.358,29.4,58.4,0.503,17.8,23.1,0.772,10.1,33.4,43.5,22.6,7.7,4.7,14,19.9,105.6
33963,2016,NBA,Atlanta Hawks,ATL,TRUE,82,241.8,37.1,86.1,0.432,8.3,24.5,0.338,28.9,61.6,0.469,16.7,22.1,0.755,11.5,35,46.5,22,8.6,5,16.1,18.3,99.2
33964,2016,NBA,Boston Celtics,BOS,TRUE,82,241.2,37.5,85,0.441,7.8,23.3,0.336,29.7,61.7,0.481,19.7,26,0.755,11.4,34.6,46,20.9,7.6,5.5,16.4,21,102.5
33965,2016,NBA,Brooklyn Nets,BRK,FALSE,82,240.9,40.8,85.2,0.479,9.5,25.6,0.369,31.3,59.6,0.526,15,19.6,0.763,10.2,33.2,43.4,24.5,8.8,5.2,14.2,18.4,106
33966,2016,NBA,Chicago Bulls,CHI,FALSE,82,242.7,39.4,89.4,0.441,7.9,23,0.345,31.5,66.4,0.474,16.3,22.1,0.737,11.8,34.1,45.9,22.5,8,5.7,11.9,18.7,103.1
33967,2016,NBA,Charlotte Hornets,CHO,TRUE,82,242.1,37.8,85,0.444,8.9,25.4,0.349,28.9,59.6,0.485,16.3,21.2,0.769,8.9,35.8,44.7,23.2,6.7,5.5,13.5,20.4,100.7
33968,2016,NBA,Cleveland Cavaliers,CLE,TRUE,82,242.1,36.8,82.1,0.448,7.9,22.7,0.347,28.9,59.4,0.487,16.8,22.6,0.743,9.3,31.8,41,21.4,7.2,4.4,13.3,20.6,98.3
33969,2016,NBA,Dallas Mavericks,DAL,TRUE,82,244,38.3,85,0.451,9.1,26.5,0.342,29.3,58.5,0.5,16.9,22.8,0.738,10.6,35.2,45.8,22,7.5,4.4,13.9,21.4,102.6
33970,2016,NBA,Denver Nuggets,DEN,FALSE,82,241.8,38.8,84.2,0.461,9.2,24.8,0.371,29.6,59.4,0.498,18.2,23.9,0.761,9.7,32.9,42.7,23.5,8,6.3,13.7,20.9,105
